transaction_id,request_id,waste_id,buyer_company_id,seller_company_id,transaction_date,final_quantity,final_price_per_unit,transport_cost,carbon_saving_kg,delivery_status,payment_status
TRX00022,REQ00066,WST00016,C002,C003,2026-09-09,2930.66,362.61,57204.17,2680.41,Delivered,Paid
TRX00023,REQ00070,WST00017,C010,C003,2026-06-11,1733.26,331.09,27647.85,1562.17,Delivered,Partially Paid
TRX00024,REQ00071,WST00017,C015,C003,2026-09-24,755.15,297.31,6396.24,1694.13,Delivered,Paid
TRX00025,REQ00074,WST00017,C044,C003,2026-07-26,3575.31,295.37,84902.17,7336.06,Delivered,Paid
TRX00026,REQ00076,WST00018,C046,C003,2026-06-13,174.08,114.13,2728.51,73.68,Scheduled,Paid
TRX00027,REQ00078,WST00018,C029,C003,2026-07-04,170.63,117.94,4146.05,306.72,Delivered,Pending
TRX00028,REQ00084,WST00019,C015,C003,2026-06-02,41.71,215.59,788.94,77.57,Delivered,Paid
TRX00029,REQ00085,WST00019,C019,C003,2026-06-12,162.5,222.75,1706.16,199.8,Delivered,Paid
TRX00030,REQ00086,WST00020,C042,C003,2026-08-25,1569.77,305.22,29317.02,987.06,In Transit,Paid
TRX00031,REQ00087,WST00020,C035,C003,2026-08-27,2646.58,311.97,41729.19,4073.37,Delivered,Pending
TRX00032,REQ00089,WST00020,C055,C003,2026-06-23,3076.65,315.22,74005.2,5185.25,Delivered,Paid
TRX00033,REQ00096,WST00022,C056,C003,2026-07-28,3648.12,511.14,81464.01,1668.12,Delivered,Paid
TRX00034,REQ00097,WST00023,C006,C003,2026-09-01,877.93,81.76,7364.65,2149.02,Delivered,Paid
TRX00035,REQ00100,WST00024,C045,C003,2026-09-13,723.99,429.78,13406.38,1766.0,Delivered,Pending
TRX00036,REQ00101,WST00024,C047,C003,2026-08-11,506.09,439.03,8594.35,825.92,In Transit,Partially Paid
TRX00037,REQ00104,WST00024,C056,C003,2026-06-08,518.93,473.93,6027.96,527.68,Delivered,Pending
TRX00038,REQ00105,WST00025,C007,C004,2026-06-26,462.66,164.45,10164.97,1101.53,Delivered,Partially Paid
TRX00039,REQ00109,WST00025,C035,C004,2026-08-12,1307.72,192.16,28419.37,2619.61,Delivered,Pending
TRX00040,REQ00110,WST00026,C025,C004,2026-08-27,242.56,526.6,2879.79,137.04,Scheduled,Pending
TRX00041,REQ00111,WST00026,C021,C004,2026-06-10,239.12,509.9,4182.07,409.11,Scheduled,Paid
TRX00042,REQ00116,WST00027,C023,C004,2026-06-18,1407.37,357.55,13453.02,1031.77,In Transit,Paid
TRX00043,REQ00117,WST00028,C011,C004,2026-08-04,3342.31,428.88,78224.33,4244.64,Delivered,Paid
TRX00044,REQ00118,WST00028,C006,C004,2026-07-24,1138.34,436.55,14327.44,2229.15,Delivered,Pending
TRX00045,REQ00120,WST00029,C038,C004,2026-08-16,213.69,157.94,2928.2,317.97,Delivered,Paid
TRX00046,REQ00121,WST00030,C057,C004,2026-09-19,2544.01,310.93,20712.51,3131.37,Delivered,Paid
TRX00047,REQ00125,WST00031,C041,C004,2026-07-28,787.85,389.32,13808.97,982.35,In Transit,Paid
TRX00048,REQ00127,WST00031,C005,C004,2026-09-12,312.86,364.91,7472.68,405.64,Delivered,Paid
TRX00049,REQ00128,WST00031,C008,C004,2026-07-06,824.76,349.86,18003.9,993.36,Delivered,Paid
TRX00050,REQ00131,WST00032,C026,C005,2026-09-06,252.86,370.86,4177.72,524.13,In Transit,Paid
TRX00051,REQ00133,WST00033,C039,C005,2026-07-01,414.85,237.73,4919.28,998.08,Delivered,Paid
TRX00052,REQ00134,WST00033,C022,C005,2026-08-08,1412.96,195.79,14353.9,1801.56,Delivered,Paid
TRX00053,REQ00138,WST00034,C040,C005,2026-06-14,1832.33,102.63,22641.05,4069.41,Delivered,Paid
TRX00054,REQ00140,WST00034,C060,C005,2026-06-09,1505.69,125.27,23059.66,1527.12,Delivered,Paid
TRX00055,REQ00143,WST00035,C029,C005,2026-06-20,2824.13,414.65,33651.4,2942.38,Delivered,Pending
TRX00056,REQ00148,WST00036,C050,C005,2026-07-03,881.21,158.6,13348.52,610.25,Delivered,Paid
TRX00057,REQ00159,WST00039,C007,C005,2026-08-31,811.62,22.4,10486.25,921.79,In Transit,Paid
TRX00058,REQ00161,WST00040,C031,C005,2026-08-28,790.47,412.33,13317.54,1535.53,Delivered,Paid
TRX00059,REQ00164,WST00040,C024,C005,2026-06-26,468.81,345.47,6332.39,918.52,Delivered,Paid
TRX00060,REQ00167,WST00041,C041,C005,2026-08-07,1866.82,99.66,26408.77,3104.41,Delivered,Paid
TRX00061,REQ00168,WST00041,C011,C005,2026-09-17,3626.39,113.5,71737.53,2008.18,Delivered,Paid
TRX00062,REQ00171,WST00041,C031,C005,2026-08-04,4427.27,94.91,48597.16,2121.57,Delivered,Paid
TRX00063,REQ00173,WST00042,C029,C005,2026-06-02,1073.34,74.78,24515.54,2590.37,Delivered,Paid
TRX00064,REQ00177,WST00043,C030,C005,2026-08-10,2307.94,317.93,29415.22,3293.49,Scheduled,Partially Paid
TRX00065,REQ00181,WST00043,C054,C005,2026-06-17,1347.25,347.87,16238.68,3358.94,In Transit,Paid
TRX00066,REQ00183,WST00044,C013,C006,2026-08-28,1188.07,376.11,13421.13,2695.1,Delivered,Paid
TRX00067,REQ00184,WST00044,C018,C006,2026-06-03,1443.64,366.82,35584.12,3019.09,Scheduled,Paid
TRX00068,REQ00185,WST00045,C021,C006,2026-08-14,830.72,424.18,10744.13,831.36,Delivered,Paid
TRX00069,REQ00189,WST00046,C018,C006,2026-06-16,1744.87,389.07,27854.79,4130.39,Delivered,Paid
TRX00070,REQ00190,WST00047,C046,C006,2026-09-23,2404.98,50.66,45586.01,5743.74,Delivered,Paid
TRX00071,REQ00193,WST00047,C040,C006,2026-09-10,1634.84,49.13,29456.62,1072.2,Delivered,Paid
TRX00072,REQ00197,WST00048,C051,C006,2026-08-28,3888.58,213.89,37064.3,8066.66,Scheduled,Paid
TRX00073,REQ00199,WST00049,C025,C006,2026-07-23,3193.02,414.11,65669.36,1383.6,In Transit,Paid
TRX00074,REQ00203,WST00050,C020,C006,2026-09-11,346.92,314.56,5658.06,415.43,Delivered,Paid
TRX00075,REQ00213,WST00054,C031,C006,2026-06-05,219.17,399.99,2716.4,369.99,Delivered,Pending
TRX00076,REQ00219,WST00055,C031,C006,2026-08-26,197.46,188.46,4810.22,421.87,In Transit,Paid
TRX00077,REQ00222,WST00057,C044,C007,2026-08-02,1118.72,428.33,14362.89,2356.62,In Transit,Paid
TRX00078,REQ00229,WST00058,C059,C007,2026-06-18,223.22,218.73,4193.08,359.21,Delivered,Pending
TRX00079,REQ00231,WST00058,C004,C007,2026-07-23,265.87,174.65,6114.97,576.13,Delivered,Paid
TRX00080,REQ00235,WST00059,C030,C007,2026-07-04,3048.29,61.11,42865.83,4838.05,Delivered,Paid
TRX00081,REQ00236,WST00060,C011,C007,2026-09-07,2982.55,84.93,69853.79,3684.13,In Transit,Paid
TRX00082,REQ00243,WST00062,C047,C007,2026-05-29,2482.65,87.47,27639.86,5033.74,Scheduled,Paid
TRX00083,REQ00244,WST00063,C005,C007,2026-08-11,1006.92,361.61,11016.68,1254.48,Delivered,Pending
TRX00084,REQ00254,WST00065,C045,C008,2026-07-09,870.82,126.46,7484.12,1518.88,Delivered,Pending
TRX00085,REQ00257,WST00066,C001,C008,2026-09-26,374.69,68.72,3338.51,602.65,Delivered,Paid
TRX00086,REQ00258,WST00067,C052,C008,2026-06-24,2208.72,416.57,51434.28,5083.25,Delivered,Paid
TRX00087,REQ00260,WST00067,C041,C008,2026-07-28,1950.89,462.54,35900.83,949.96,Delivered,Partially Paid
TRX00088,REQ00265,WST00069,C015,C008,2026-09-17,218.28,369.44,4644.11,145.83,Delivered,Paid
TRX00089,REQ00267,WST00069,C021,C008,2026-09-03,413.74,379.43,5647.58,204.04,Scheduled,Paid
TRX00090,REQ00268,WST00069,C006,C008,2026-08-16,463.24,351.05,11039.34,888.54,Delivered,Paid
TRX00091,REQ00269,WST00069,C003,C008,2026-08-25,472.63,372.93,10185.07,833.69,Delivered,Paid
TRX00092,REQ00273,WST00071,C034,C008,2026-06-27,92.17,146.88,1100.94,193.11,Delivered,Partially Paid
TRX00093,REQ00277,WST00072,C039,C008,2026-06-09,97.61,254.68,2041.91,51.06,In Transit,Paid
TRX00094,REQ00278,WST00073,C047,C008,2026-06-12,4166.69,372.84,77567.88,5820.73,Scheduled,Paid
TRX00095,REQ00279,WST00073,C003,C008,2026-08-23,1932.25,415.05,42485.31,1130.63,Delivered,Paid
TRX00096,REQ00280,WST00074,C043,C008,2026-08-15,355.95,69.76,4292.84,626.9,Delivered,Partially Paid
TRX00097,REQ00284,WST00074,C011,C008,2026-08-23,231.6,77.72,2613.71,491.2,Delivered,Paid
TRX00098,REQ00286,WST00075,C011,C008,2026-05-25,2354.78,32.31,19666.39,1977.79,Delivered,Paid
TRX00099,REQ00290,WST00076,C027,C008,2026-08-29,3065.44,337.23,25752.58,6098.56,Scheduled,Paid
TRX00100,REQ00292,WST00076,C053,C008,2026-06-14,4131.98,359.98,60351.83,4058.98,Delivered,Paid
TRX00101,REQ00294,WST00077,C033,C008,2026-06-25,2556.52,337.97,46760.52,2621.26,Delivered,Paid
TRX00102,REQ00296,WST00078,C056,C009,2026-06-24,2397.99,492.92,50714.83,4488.61,In Transit,Paid
TRX00103,REQ00297,WST00078,C057,C009,2026-07-30,1352.2,426.59,16958.76,2684.36,Delivered,Paid
TRX00104,REQ00300,WST00078,C060,C009,2026-07-10,1402.91,474.35,19569.64,2128.86,In Transit,Paid
TRX00105,REQ00301,WST00079,C015,C009,2026-08-26,3035.79,109.75,35763.21,7034.61,Delivered,Paid
TRX00106,REQ00302,WST00079,C033,C009,2026-06-21,1955.36,115.77,42700.48,4851.56,Delivered,Paid
TRX00107,REQ00304,WST00079,C001,C009,2026-06-30,1152.42,127.24,15138.34,1905.58,Delivered,Paid
TRX00108,REQ00305,WST00079,C018,C009,2026-09-29,1690.4,95.44,38745.58,2682.03,Delivered,Paid
TRX00109,REQ00306,WST00080,C043,C009,2026-06-17,552.48,362.05,11510.37,237.05,Delivered,Pending
TRX00110,REQ00307,WST00080,C007,C009,2026-08-09,659.69,329.88,7013.06,1074.09,Delivered,Paid
TRX00111,REQ00320,WST00083,C014,C009,2026-07-03,33.72,209.0,781.7,19.29,Delivered,Paid
TRX00112,REQ00321,WST00083,C027,C009,2026-08-27,94.37,214.18,1541.72,184.5,Delivered,Paid
TRX00113,REQ00327,WST00084,C008,C009,2026-06-03,260.02,412.07,3704.6,491.04,Delivered,Paid
TRX00114,REQ00328,WST00084,C005,C009,2026-08-21,549.65,472.09,6749.27,631.48,Delivered,Pending
TRX00115,REQ00330,WST00085,C047,C009,2026-06-19,679.25,17.33,13630.91,1370.2,Delivered,Pending
TRX00116,REQ00332,WST00086,C043,C009,2026-09-07,3360.97,190.46,53921.73,4561.18,Delivered,Partially Paid
TRX00117,REQ00335,WST00087,C021,C009,2026-06-27,890.42,431.5,15842.56,2095.59,In Transit,Paid
TRX00118,REQ00336,WST00087,C032,C009,2026-08-04,241.36,393.66,2043.93,462.71,Delivered,Paid
TRX00119,REQ00340,WST00088,C002,C009,2026-06-05,2543.67,446.61,48996.6,2066.36,Delivered,Paid
TRX00120,REQ00342,WST00089,C048,C009,2026-09-13,680.67,136.71,11362.3,1080.11,In Transit,Paid
TRX00121,REQ00343,WST00089,C030,C009,2026-07-27,1200.59,139.76,10601.16,2181.49,Delivered,Pending
TRX00122,REQ00345,WST00089,C058,C009,2026-08-31,467.67,124.47,4774.15,980.14,Scheduled,Paid
TRX00123,REQ00347,WST00090,C020,C009,2026-07-17,552.99,233.98,12434.81,533.91,In Transit,Paid
TRX00124,REQ00349,WST00090,C043,C009,2026-07-26,179.81,250.24,3092.89,208.82,Delivered,Pending
TRX00125,REQ00353,WST00091,C011,C009,2026-06-15,2962.2,241.99,66491.47,4047.25,In Transit,Paid
TRX00126,REQ00358,WST00092,C051,C009,2026-08-19,961.86,104.65,23495.26,1349.22,Delivered,Paid
TRX00127,REQ00361,WST00093,C041,C010,2026-07-22,153.41,122.49,3522.53,363.18,In Transit,Paid
TRX00128,REQ00362,WST00093,C002,C010,2026-09-16,584.8,121.62,7374.99,817.52,In Transit,Partially Paid
TRX00129,REQ00367,WST00094,C039,C010,2026-07-08,1583.76,512.39,17944.41,779.21,Delivered,Paid
TRX00130,REQ00369,WST00094,C024,C010,2026-06-20,905.24,480.07,9908.52,1566.61,In Transit,Paid
TRX00131,REQ00376,WST00096,C024,C010,2026-07-18,70.77,222.52,958.47,108.27,In Transit,Paid
TRX00132,REQ00379,WST00097,C056,C010,2026-09-07,1384.22,408.15,23767.4,594.5,Delivered,Paid
TRX00133,REQ00382,WST00098,C056,C010,2026-08-12,2077.62,43.41,21565.89,4354.73,Delivered,Paid
TRX00134,REQ00383,WST00098,C056,C010,2026-07-04,2555.67,34.44,41520.56,4549.8,In Transit,Pending
TRX00135,REQ00387,WST00098,C051,C010,2026-09-21,1549.67,42.32,28531.24,2698.95,Delivered,Pending
TRX00136,REQ00389,WST00099,C017,C010,2026-06-09,4024.17,70.66,76398.57,6350.15,Delivered,Paid
TRX00137,REQ00395,WST00101,C035,C010,2026-08-22,1373.55,298.27,25990.76,2618.38,Delivered,Paid
TRX00138,REQ00396,WST00101,C015,C010,2026-06-22,1212.07,291.55,29929.63,2081.55,Delivered,Pending
TRX00139,REQ00397,WST00101,C012,C010,2026-09-18,1634.94,292.34,38256.6,1687.0,Delivered,Pending
TRX00140,REQ00399,WST00102,C028,C010,2026-06-18,1799.4,90.79,20655.27,3271.81,Delivered,Paid
TRX00141,REQ00401,WST00102,C014,C010,2026-09-09,1211.56,117.7,21483.86,1802.39,Delivered,Paid
TRX00142,REQ00404,WST00103,C014,C011,2026-07-15,1615.86,243.98,35496.44,3018.07,Delivered,Paid
TRX00143,REQ00407,WST00105,C005,C011,2026-06-06,1424.2,84.13,28671.32,2857.18,In Transit,Paid
TRX00144,REQ00409,WST00105,C032,C011,2026-08-25,1172.12,81.9,21713.76,2452.26,Delivered,Paid
TRX00145,REQ00410,WST00105,C014,C011,2026-08-29,558.26,93.43,10466.96,699.46,Delivered,Paid
TRX00146,REQ00411,WST00105,C037,C011,2026-07-29,632.64,95.14,12029.44,732.94,Scheduled,Paid
TRX00147,REQ00413,WST00106,C051,C011,2026-08-10,1690.85,207.82,22269.22,724.51,Delivered,Paid
TRX00148,REQ00414,WST00106,C007,C011,2026-08-24,3431.05,207.17,62865.14,4993.56,Delivered,Paid
TRX00149,REQ00416,WST00107,C060,C011,2026-07-03,730.96,159.62,11397.87,1484.32,Delivered,Paid
TRX00150,REQ00418,WST00107,C010,C011,2026-08-18,1524.19,158.26,26733.33,3223.08,Scheduled,Paid
TRX00151,REQ00419,WST00107,C044,C011,2026-06-08,2565.04,160.42,42356.0,2582.33,Delivered,Paid
TRX00152,REQ00422,WST00108,C053,C011,2026-09-26,2337.05,51.04,24625.96,1304.55,Delivered,Paid
TRX00153,REQ00426,WST00109,C030,C011,2026-09-22,4299.66,311.35,81110.06,4075.85,Delivered,Paid
TRX00154,REQ00427,WST00109,C034,C011,2026-05-31,4444.63,339.89,75411.64,6061.16,Delivered,Paid
TRX00155,REQ00429,WST00110,C032,C011,2026-07-12,961.23,191.29,15346.14,1777.14,Delivered,Pending
TRX00156,REQ00430,WST00110,C007,C011,2026-07-28,951.53,211.87,20152.48,631.57,Delivered,Paid
TRX00157,REQ00431,WST00110,C057,C011,2026-09-16,794.42,179.0,19317.44,875.33,Scheduled,Paid
TRX00158,REQ00432,WST00110,C051,C011,2026-06-17,444.96,200.23,3843.93,1017.67,Delivered,Paid
TRX00159,REQ00434,WST00111,C050,C012,2026-10-03,2656.86,53.23,27504.21,1095.25,Delivered,Paid
TRX00160,REQ00437,WST00111,C007,C012,2026-07-28,2492.53,53.3,53270.7,5732.34,Scheduled,Paid
TRX00161,REQ00439,WST00112,C044,C012,2026-09-24,96.01,387.26,1504.52,179.99,Scheduled,Paid
TRX00162,REQ00443,WST00113,C053,C012,2026-06-06,1016.67,350.02,18429.15,697.14,Delivered,Paid
TRX00163,REQ00444,WST00113,C003,C012,2026-08-04,1097.14,406.28,17695.89,1926.95,Delivered,Partially Paid
TRX00164,REQ00448,WST00114,C005,C012,2026-09-06,2991.69,39.81,33134.2,7203.91,Delivered,Paid
TRX00165,REQ00453,WST00115,C042,C012,2026-09-14,572.31,146.47,5306.38,1316.5,In Transit,Paid
TRX00166,REQ00454,WST00115,C044,C012,2026-05-23,894.39,128.85,12175.35,2082.81,Delivered,Paid
TRX00167,REQ00455,WST00115,C016,C012,2026-07-26,1180.96,162.49,14255.96,2118.54,Delivered,Paid
TRX00168,REQ00458,WST00116,C040,C012,2026-08-14,431.28,365.63,7943.78,343.37,Delivered,Paid
TRX00169,REQ00460,WST00116,C040,C012,2026-05-23,1277.07,281.13,27253.92,2846.39,Delivered,Pending
TRX00170,REQ00463,WST00117,C014,C012,2026-08-07,763.81,498.76,10160.19,969.46,In Transit,Partially Paid
TRX00171,REQ00465,WST00117,C049,C012,2026-09-07,515.63,472.57,6037.94,544.31,Delivered,Paid
TRX00172,REQ00469,WST00118,C016,C013,2026-07-28,61.29,327.15,1404.54,30.86,Delivered,Paid
TRX00173,REQ00473,WST00119,C029,C013,2026-07-10,3194.69,242.03,69984.14,1293.84,Scheduled,Paid
TRX00174,REQ00476,WST00120,C043,C013,2026-08-03,1352.12,410.59,26861.8,2689.96,Delivered,Paid
TRX00175,REQ00478,WST00121,C033,C013,2026-06-01,3374.21,289.25,72720.03,4447.47,In Transit,Pending
TRX00176,REQ00479,WST00121,C003,C013,2026-07-22,3076.11,313.56,37562.06,2133.64,Scheduled,Paid
TRX00177,REQ00481,WST00122,C040,C013,2026-09-12,1120.28,276.14,18627.61,1626.39,Delivered,Paid
TRX00178,REQ00482,WST00123,C031,C013,2026-05-28,2851.27,384.19,31772.62,6978.13,Delivered,Paid
TRX00179,REQ00483,WST00123,C045,C013,2026-07-27,1991.71,379.46,18992.35,4447.65,Scheduled,Paid
TRX00180,REQ00484,WST00123,C023,C013,2026-08-27,950.74,355.09,17052.9,1929.65,Delivered,Paid
TRX00181,REQ00486,WST00124,C019,C013,2026-08-11,1690.64,130.17,40723.73,2439.45,Delivered,Partially Paid
TRX00182,REQ00488,WST00124,C039,C013,2026-08-21,2039.81,130.88,38811.86,4687.05,In Transit,Paid
TRX00183,REQ00490,WST00125,C052,C013,2026-05-26,2260.69,144.2,33427.67,2097.14,Delivered,Paid
TRX00184,REQ00494,WST00126,C054,C013,2026-08-24,1407.15,341.04,20461.06,1258.56,Delivered,Paid
TRX00185,REQ00495,WST00126,C003,C013,2026-07-17,1062.51,385.67,22014.77,2170.97,In Transit,Pending
TRX00186,REQ00496,WST00126,C060,C013,2026-06-08,1311.09,374.54,13955.63,1547.46,In Transit,Paid
TRX00187,REQ00497,WST00126,C014,C013,2026-06-27,2930.64,306.21,33054.57,5682.49,Delivered,Paid
TRX00188,REQ00498,WST00126,C047,C013,2026-07-07,1202.0,364.65,12822.73,1010.53,Delivered,Paid
TRX00189,REQ00499,WST00126,C027,C013,2026-06-20,3295.07,394.67,59544.13,6071.96,Scheduled,Partially Paid
TRX00190,REQ00501,WST00127,C032,C013,2026-07-24,4119.58,83.1,49631.09,3037.63,Delivered,Paid
TRX00191,REQ00502,WST00127,C034,C013,2026-08-24,4462.59,78.47,108149.78,4189.67,Delivered,Partially Paid
TRX00192,REQ00504,WST00128,C039,C013,2026-06-04,873.34,152.25,9746.21,1363.08,Delivered,Paid
TRX00193,REQ00508,WST00129,C009,C013,2026-08-12,2380.91,187.46,39192.79,5448.15,Delivered,Paid
TRX00194,REQ00509,WST00129,C052,C013,2026-08-26,1780.05,181.4,24716.17,3952.28,In Transit,Pending
TRX00195,REQ00511,WST00129,C037,C013,2026-06-12,1205.28,153.26,26751.61,2722.07,Delivered,Pending
TRX00196,REQ00514,WST00130,C037,C013,2026-07-09,994.75,262.03,11815.71,821.25,Scheduled,Paid
TRX00197,REQ00515,WST00130,C005,C013,2026-07-13,519.91,231.47,9575.26,592.32,In Transit,Paid
TRX00198,REQ00517,WST00130,C046,C013,2026-07-03,1227.84,250.26,10596.94,1779.1,Delivered,Paid
TRX00199,REQ00521,WST00132,C009,C013,2026-05-26,3590.2,97.82,32492.0,3018.72,Delivered,Paid
TRX00200,REQ00522,WST00132,C025,C013,2026-08-22,3232.56,104.31,76812.18,2534.27,Delivered,Paid
TRX00201,REQ00525,WST00133,C028,C013,2026-07-02,887.35,196.09,13360.68,512.22,Delivered,Paid
TRX00202,REQ00527,WST00133,C044,C013,2026-06-11,1821.93,218.15,18667.89,4174.95,Delivered,Paid
TRX00203,REQ00528,WST00133,C009,C013,2026-08-03,858.71,216.71,14871.28,789.92,Scheduled,Paid
TRX00204,REQ00532,WST00135,C038,C013,2026-09-22,196.2,89.06,2132.51,291.53,Delivered,Paid
TRX00205,REQ00534,WST00136,C001,C013,2026-08-31,1796.51,430.93,29679.42,2801.57,In Transit,Paid
TRX00206,REQ00538,WST00136,C006,C013,2026-07-19,1723.38,475.13,23424.48,3024.79,Delivered,Paid
TRX00207,REQ00541,WST00137,C044,C013,2026-06-24,467.45,372.01,6947.0,219.69,Scheduled,Paid
TRX00208,REQ00543,WST00137,C043,C013,2026-06-21,478.25,485.98,10464.67,671.54,Scheduled,Pending
TRX00209,REQ00545,WST00138,C049,C013,2026-06-05,1844.95,19.94,41874.38,1763.91,In Transit,Paid
TRX00210,REQ00548,WST00138,C027,C013,2026-09-07,1259.64,21.0,24244.92,777.41,Delivered,Paid
TRX00211,REQ00550,WST00139,C017,C014,2026-09-13,2522.06,52.19,24358.26,4262.2,Delivered,Paid
TRX00212,REQ00551,WST00139,C039,C014,2026-07-27,3052.01,49.01,39834.01,3090.57,Delivered,Paid
TRX00213,REQ00554,WST00141,C058,C014,2026-09-21,246.57,228.9,3825.87,361.97,In Transit,Paid
TRX00214,REQ00556,WST00141,C049,C014,2026-08-21,267.5,199.95,2230.38,438.06,In Transit,Paid
TRX00215,REQ00557,WST00141,C059,C014,2026-08-13,326.26,176.47,5111.66,740.19,In Transit,Pending
TRX00216,REQ00560,WST00142,C040,C014,2026-09-09,434.18,162.57,5166.63,914.18,Delivered,Paid
TRX00217,REQ00561,WST00143,C016,C014,2026-09-23,1092.04,169.68,12307.23,534.92,Scheduled,Paid
TRX00218,REQ00565,WST00144,C026,C014,2026-09-16,735.66,121.88,17845.54,774.4,In Transit,Partially Paid
TRX00219,REQ00566,WST00144,C031,C014,2026-08-25,997.91,137.39,20119.01,2068.11,Delivered,Paid
TRX00220,REQ00568,WST00145,C043,C014,2026-06-12,1011.32,219.74,11160.39,424.57,Scheduled,Paid
TRX00221,REQ00570,WST00145,C036,C014,2026-07-19,1175.05,249.28,19769.73,1990.07,Delivered,Paid
TRX00222,REQ00571,WST00145,C027,C014,2026-08-16,800.57,226.95,16695.25,1931.11,Delivered,Paid
TRX00223,REQ00577,WST00146,C048,C014,2026-09-15,3856.13,357.83,33842.72,4129.08,Delivered,Paid
TRX00224,REQ00581,WST00148,C017,C014,2026-06-03,437.6,408.81,6076.13,432.56,Delivered,Paid
TRX00225,REQ00582,WST00148,C013,C014,2026-05-30,515.13,445.38,7587.56,1202.59,Delivered,Paid
TRX00226,REQ00586,WST00149,C002,C014,2026-09-15,3296.36,443.62,56997.46,5887.83,In Transit,Paid
TRX00227,REQ00587,WST00149,C017,C014,2026-08-28,1202.96,427.84,22541.68,728.53,Delivered,Partially Paid
TRX00228,REQ00593,WST00150,C029,C014,2026-09-22,2106.61,299.17,28969.46,5237.95,Delivered,Paid
TRX00229,REQ00595,WST00151,C052,C014,2026-08-04,1897.44,428.15,24101.58,2323.88,Delivered,Paid
TRX00230,REQ00596,WST00151,C054,C014,2026-08-04,684.17,373.48,8165.72,1335.68,Delivered,Partially Paid
TRX00231,REQ00600,WST00153,C022,C014,2026-06-23,1694.69,395.86,29379.21,2498.06,Scheduled,Paid
TRX00232,REQ00603,WST00154,C016,C014,2026-07-20,3206.74,260.45,68882.7,4831.86,Delivered,Paid
TRX00233,REQ00604,WST00154,C059,C014,2026-06-08,1534.43,312.62,16173.82,3287.67,Delivered,Pending
TRX00234,REQ00607,WST00155,C052,C014,2026-08-22,1793.59,368.1,34230.02,1040.36,Delivered,Paid
TRX00235,REQ00609,WST00156,C018,C014,2026-08-31,1182.09,260.65,25762.88,821.53,In Transit,Paid
TRX00236,REQ00612,WST00157,C033,C015,2026-07-04,2591.53,18.44,43845.84,4915.92,In Transit,Paid
TRX00237,REQ00614,WST00158,C031,C015,2026-08-13,1241.22,292.7,14065.26,1513.07,Delivered,Paid
TRX00238,REQ00615,WST00158,C025,C015,2026-07-18,735.98,307.2,18029.55,1310.91,In Transit,Partially Paid
TRX00239,REQ00618,WST00158,C052,C015,2026-09-20,1708.24,307.14,14144.14,1331.16,Delivered,Pending
TRX00240,REQ00621,WST00159,C004,C015,2026-09-17,2599.66,278.24,21563.74,4556.67,Delivered,Paid
